"ADDRESSMAIL","ADDRESSPHYSICAL","ALTERNATEDISTRICTNAME","ALTSCHOOLNAME","CHWEBURL","CITY","COUNTYNAME","DISTRICTCODE","DISTRICTNAME","GRADESERVEDRANGE","PRINEMAIL","PRINFIRSTNAME","PRINFULLNAME","PRINLASTNAME","PRINPHONE","PRINTITLE","REGION","SCHOOLCODE","SCHOOLEMAIL","SCHOOLFAX","SCHOOLNAME","SCHOOLPHONE","SCHOOLYEAR","SID","STATE","ZIP",
"","1845 Old Anderson Mill Road","Spartanburg County School District Six","Anderson Mill Elementary","https://ames.spart6.org/","Moore","Spartanburg                                       ",4206,"Spartanburg 06                                    ","PK-5 SPED      ","fosterre@spart6.org","Rebecca","field no longer used","Foster","864-576-6539","Mrs.","Upstate",088,"",8645952452,"Anderson Mill Elem                                ",8645766539,2020,4206088,"SC",29369,
"","6925 Kershaw-Camden Highway","Lancaster County School District","Andrew Jackson High School","http://ajhs.lancastercsd.com","Kershaw","Lancaster                                         ",2901,"Lancaster 01                                      ","9-12 SPED          ","shuntay.miller@lcsdmail.net","Shuntay","field no longer used","Miller","803-475-2381","Ms.","Catawba",007,"",8034757317,"Andrew Jackson High                               ",8034752381,2020,2901007,"SC",29067,
"","6865 Kershaw Camden Highway","Lancaster County School District","Andrew Jackson Middle","http://ajms.lancastercsd.com","Kershaw","Lancaster                                         ",2901,"Lancaster 01                                      ","6-8 SPED           ","christopher.timmons@lcsdmail.net","Christopher","field no longer used","Timmons","803-475-6021","Mr.","Catawba",027,"",8034758256,"Andrew Jackson Middle                             ",8034756021,2020,2901027,"SC",29067,
"","13072 County Line Road","Georgetown County School District","Andrews Elementary","https://aes.gcsd.k12.sc.us/","Andrews","Georgetown                                        ",2201,"Georgetown 01                                     ","PK-5 SPED      ","awatford@gcsd.k12.sc.us","Adrienne","field no longer used","Watford","843-264-3419","Ms.","Waccamaw",008,"",8432645511,"Andrews Elem                                      ",8432643419,2020,2201008,"SC",29510,
"","12890 County Line Road","Georgetown County School District","Andrews High School","https://ahs.gcsd.k12.sc.us/home","Andrews","Georgetown                                        ",2201,"Georgetown 01                                     ","9-12 SPED      ","panderson@gcsd.k12.sc.us","Paula","field no longer used","Anderson","843-264-3414","Dr.","Waccamaw",001,"","843-264-3326","Andrews High                                      ",8432643414,2020,2201001,"SC",29510,
"","6134 Chisolm Road","Charleston County School District","Angel Oak Elementary","http://angeloak.ccsdschools.com/","Johns Island","Charleston                                        ",1001,"Charleston 01                                     ","PK-5 SPED      ","judith_condon@charleston.k12.sc.us","Judith ","field no longer used","Condon","843-559-6412","Ms.","Trident",083,"",8435596415,"Angel Oak Elem                                    ",8435596412,2020,1001083,"SC",29455,
"","7300 Patterson Road","Richland County School District One","Annie Burnside Elementary","https://www.richlandone.org/Domain/13","Columbia","Richland                                          ",4001,"Richland 01                                       ","PK-5 SPED      ","felicia.richardson@richlandone.org","Felicia","field no longer used","Richardson","803-783-5530","Ms..","Midlands",027,"",8037835594,"Annie Burnside Elem                               ",8037835530,2020,4001027,"SC",29209,
"","2399 West Main Street","Rock Hill School District Three of York County","Applied Technology Center","http://at.rock-hill.k12.sc.us/","Rock Hill","York                                              ",4603,"York 03                                           ","9-12 SPED          ","rroveri@rhmail.org","Ronald","field no longer used","Roveri","803-981-1181","Mr.","Catawba",995,"",8039811125,"Applied Technology Ctr                            ",8039811100,2020,4603995,"SC",29732,
"","375 Spring Street","Spartanburg County School District Six","Arcadia Elementary","https://aes.spart6.org/","Spartanburg","Spartanburg                                       ",4206,"Spartanburg 06                                    ","PK-5 SPED      ","seegarj@spart6.org","Jay","field no longer used","Seegars","864-576-1371","Mr.","Upstate",057,"",8645952408,"Arcadia Elem                                      ",8645761371,2020,4206057,"SC",29301,
"","1300 Ashley Street","Richland County School District One","Arden Elementary","https://www.richlandone.org/Domain/9","Columbia","Richland                                          ",4001,"Richland 01                                       ","PK-5 SPED      ","timothy.blackwell@richlandone.org","Timothy","field no longer used","Blackwell","803-735-3400","Dr.","Midlands",020,"",8036914231,"Arden Elem                                        ",8037353400,2020,4001020,"SC",29203,
"","8601 White Horse Road","The School District of Greenville County","Armstrong Elementary","http://www.greenville.k12.sc.us/armstrng/","Greenville","Greenville                                        ",2301,"Greenville 01                                     ","PK-5 SPED      ","tatkins@greenville.k12.sc.us","Tracy","field no longer used","Atkins","864-355-1100","Ms.","Greenville",031,"",8643551158,"Armstrong Elem                                    ",8643551100,2020,2301031,"SC",29617,
"","9800 Delemar Highway","Dorchester 2","Ashley Ridge High School","http://arhs.ddtwo.org","Summerville","Dorchester                                        ",1802,"Dorchester 02                                     ","9-12 SPED      ","kradcliffe@dorchester2.k12.sc.us","Karen","field no longer used","Radcliffe",8436954900,"Ms.","Trident",027,"",8436954905,"Ashley Ridge High                                 ",8436954900,2020,1802027,"SC",29485,
"","1871 Wallace School Road","Charleston County School District","Ashley River Creative Arts Elementary","http://ashleyriver.ccsdschools.com/","Charleston","Charleston                                        ",1001,"Charleston 01                                     ","K-5 SPED       ","michelle_conner@charleston.k12.sc.us","Michelle","field no longer used","Conner","843-763-1555","Ms.","Trident",091,"",8437631567,"Ashley River Creative Arts Elementary                       ",8437631555,2020,1001091,"SC",29407,
"","100 Winyah Street","The School District of Greenville County","Augusta Circle Elementary","https://www.greenville.k12.sc.us/acircle/","Greenville","Greenville                                        ",2301,"Greenville 01                                     ","K-5 SPED         ","mmelehes@greenville.k12.sc.us","Mimi","field no longer used","Melehes","864-355-1200","Ms.","Greenville",034,"",8643551212,"Augusta Circle Elem                               ",8643551200,2020,2301034,"SC",29605,
"","516 Jordanville Road","Horry County Schools","Aynor Elementary","http://ae.horrycountyschools.net/","Aynor","Horry                                             ",2601,"Horry 01                                          ","PK-5 SPED      ","rgasque@horrycountyschools.net","Reggie","field no longer used","Gasque","843-488-7070","Mr.","Waccamaw",014,"",8434887071,"Aynor Elem                                        ",8434887070,2020,2601014,"SC",29511,
"","201 Jordanville Road","Horry County Schools","Aynor High School","http://ah.horrycountyschools.net/","Aynor","Horry                                             ",2601,"Horry 01                                          ","9-12 SPED      ","mmccracken@horrycountyschools.net","Michael O.","field no longer used","McCracken","843-488-7100","Mr.","Waccamaw",001,"",8434887101,"Aynor High                                        ",8434887100,2020,2601001,"SC",29511,
"","400 Frye Road","Horry County Schools","Aynor Middle","http://am.horrycountyschools.net/","Galivants Ferry","Horry                                             ",2601,"Horry 01                                          ","6-8 SPED       ","rwatkins@horrycountyschools.net","Robbie","field no longer used","Watkins","843-358-6000","Mr.","Waccamaw",057,"",8433585065,"Aynor Middle                                      ",8433586000,2020,2601057,"SC",29544,
"","401 Overbrook Drive","Cherokee County School District","B. D. Lee Elementary","https://bdl.cherokee1.org/","Gaffney","Cherokee                                          ",1101,"Cherokee 01                                       ","PK-5 SPED      ","Sharon.Jefferies@cherokee1.org","Sharon","field no longer used","Jefferies","864-206-6432","Mrs.","Upstate",015,"",8649023642,"B D Lee Elem                                      ",8642066432,2020,1101015,"SC",29341,
"","1040 Bickley Road","School District Five of Lexington and Richland Cou","Ballentine Elementary","https://www.lexrich5.org/bes","Irmo","Lexington                                         ",3205,"Lexington 05                                      ","K-5 SPED       ","rbright@lexrich5.org","Robin","field no longer used","Bright",8034764500,"Ms.","Midlands",055,"",8034764520,"Ballentine Elem                                   ",8034764500,2020,3205055,"SC",29063,
"","267 Red Raider Drive","Bamberg One","Bamberg-Ehrhardt High School","https://behs.bamberg1.net/","Bamberg","Bamberg                                           ",0501,"Bamberg 01                                        ","9-12 SPED          ","dulmer@bamberg1.net","Dennis R. ","field no longer used","Ulmer","803-245-3030","Mr.","Lower Savannah",001,"",8032456502,"Bamberg Ehrhardt High                             ",8032453030,2020,0501001,"SC",29003,
"","897 North Street","Bamberg One","Bamberg-Ehrhardt Middle","https://bems.bamberg1.net/","Bamberg","Bamberg                                           ",0501,"Bamberg 01                                        ","7-8 SPED           ","dmiller@bamberg1.net","Denise ","field no longer used","Miller","803-245-3058","Mrs.","Lower Savannah",002,"",8032456501,"Bamberg-Ehrhardt Middle                           ",8032453058,2020,0501002,"SC",29003,
"","1640 Banks Road","Fort Mill School District","Banks Trail Middle","http://fortmillbtms.ss11.sharpschool.com/","Fort Mill","York                                              ",4604,"York 04                                           ","6-8 SPED            ","pyrcma@fortmillschools.org","Marc","field no longer used","Pyrc","803-578-2990","Mr.","Catawba",057,"",8035782999,"Banks Trail Middle                                ",8035782990,2020,4604057,"SC",29715,
"","5117 Baptist Hill Road","Charleston County School District","Baptist Hill High School","http://baptisthill.ccsdschools.com/","Hollywood","Charleston                                        ",1001,"Charleston 01                                     ","6-12 SPED      ","vanessa_brown@charleston.k12.sc.us","Vanessa ","field no longer used","Brown","843-889-2276","Ms.","Trident",001,"",8438892101,"Baptist Hill High                                 ",8438892276,2020,1001001,"SC",29449,
"","5214 Reynolds Road","Barnwell County AVC","Barnwell County Career Centertr","https://www.bccc80.com/","Blackville","Barnwell                                          ",0680,"Barnwell 80                                       ","9-12 SPED","daugustine@bsd45.net","David","field no longer used","Augustine","803-259-5512","Mr.","",995,"",8035414701,"Barnwell Co Career Ctr                            ",8032595512,2020,0680995,"SC",29817,
"","10524 Marlboro Avenue","Barnwell School District 45","Barnwell Elementary","https://besbsd45.weebly.com","Barnwell","Barnwell                                          ",0645,"Barnwell 45                                       ","4-6 SPED           ","kgooding@bsd45.net","Kay","field no longer used","Gooding","803-541-1285","Ms.","Lower Savannah",012,"",8035411290,"Barnwell Elem                                     ",8035411285,2020,0645012,"SC",29812,
"","474 Jackson Street","Barnwell School District 45","Barnwell High School","http://bhs.bsd45.net/","Barnwell","Barnwell                                          ",0645,"Barnwell 45                                       ","9-12 SPED          ","fmccormack@bsd45.net","Franklin","field no longer used","McCormack","803-541-1390","Mr.","Lower Savannah",009,"",8035411410,"Barnwell High                                     ",8035411390,2020,0645009,"SC",29812,
"","734 Hagood Avenue","Barnwell School District 45","Barnwell Primary","http://bps.barnwell45.org","Barnwell","Barnwell                                          ",0645,"Barnwell 45                                       ","PK-3 SPED          ","dselvey@bsd45.net","Donna","field no longer used","Selvey","803-541-1321","Ms.","Lower Savannah",011,"",8035411313,"Barnwell Primary                                  ",8035411320,2020,0645011,"SC",29812,
"","2684 Baron DeKalb Road","Kershaw County School District","Baron Dekalb Elementary","http://www.kcsdschools.net/bdk","Camden","Kershaw                                           ",2801,"Kershaw 01                                        ","PK-5 SPED          ","betty.turner@kcsdschools.net","Betty ","field no longer used","Turner","803-432-2483","Ms.","Santee Lynches",010,"",8034258979,"Baron Dekalb Elem                                 ",8034322483,2020,2801010,"SC",29020,
"","715 Estate Street","Sumter","Bates Middle","http://bms.sumterschools.net/","Sumter","Sumter                                            ",4301,"Sumter 01                                         ","6-8 SPED       ","ayesha.hunter@sumterschools.net","Ayesha","field no longer used","Hunter","803-775-0711","Dr.","Santee Lynches",022,"",8037750715,"Bates Middle                                      ",8037750711,2020,4301022,"SC",29150,
"","403 South Lee Street","Lexington County School District Three","Batesburg-Leesville Elementary","http://bles.lex3.org/","Batesburg-Leesville","Lexington                                         ",3203,"Lexington 03                                      ","3-5 SPED       ","mvelasquez@lex3.org","Matt","field no longer used","Velasquez","803-532-1155","Mr.","Midlands",028,"","803532-8027","Batesburg-Leesville Elem                          ","803532-1155",2020,3203028,"SC",29070,
"","600 Summerland Avenue","Lexington County School District Three","Batesburg-Leesville High School","http://blhs.lex3.org/","Batesburg-Leesville","Lexington                                         ",3203,"Lexington 03                                      ","9-12 SPED      ","smbryant@lex3.org","Sonya","field no longer used","Bryant","803-532-9251","Mrs.","Midlands",026,"",8035323232,"Batesburg-Leesville High                          ",8035329251,2020,3203026,"SC",29006,
"","425 Shealy Road","Lexington County School District Three","Batesburg-Leesville Middle","http://blms.lex3.org/","Batesburg-Leesville","Lexington                                         ",3203,"Lexington 03                                      ","6-8 SPED       ","sclark@lex3.org","Sharah","field no longer used","Clark","803-532-3831","Mrs.","Midlands",029,"",8035328021,"Batesburg-Leesville Middle                        ",8035323831,2020,3203029,"SC",29006,
"","800 Summerland Avenue","Lexington County School District Three","Batesburg-Leesville Primary","http://blps.lex3.org/","Batesburg-Leesville","Lexington                                         ",3203,"Lexington 03                                      ","PK-2 SPED      ","dharden@lex3.org","Dawn","field no longer used","Harden","803-532-4452","Mrs.","Midlands",030,"",8035324453,"Batesburg-Leesville Primary                       ",8035324452,2020,3203030,"SC",29006,
"","1 Blue Dolphin Drive","Beaufort County School District","Battery Creek High School","http://bchs.beaufortschools.net/","Beaufort","Beaufort                                          ",0701,"Beaufort 01                                       ","9-12 SPED      ","Chad.Cox@beaufort.k12.sc.us","Chad","field no longer used","Cox","843-322-5500","Mr.","Lowcountry",004,"",8433225608,"Battery Creek High                                ",8433225500,2020,0701004,"SC",29906,
"","1800 Prince Street","Beaufort County School District","Beaufort Elementary","http://bes.beaufortschools.net/","Beaufort","Beaufort                                          ",0701,"Beaufort 01                                       ","PK-5 SPED      ","melissa.holland@beaufort.k12.sc.us","Melissa","field no longer used","Holland","843-322-2600","Ms.","Lowcountry",008,"",8433222685,"Beaufort Elem                                     ",8433222600,2020,0701008,"SC",29902,
"","84 Sea Island Parkway","Beaufort County School District","Beaufort High School","http://bhs.beaufortschools.net/","Beaufort","Beaufort                                          ",0701,"Beaufort 01                                       ","9-12 SPED      ","Charity.Summers@beaufort.k12.sc.us","Charity","field no longer used","Summers","843-322-2000","Ms.","Lowcountry",002,"",8433222160,"Beaufort High                                     ",8433222000,2020,0701002,"SC",29907,
